"","tank","week","Mb","mba","mba1","pp.N","AvgS","CMb","Cmba","Cmba1","C.N","CAvgS","OMb","Omba","Omba1","O.N","OAvgS","CNMb","CNmba","CNmba1","CN.N","CN.AvgS","FNMb","FNmba","FNmba1","FN.N","FN.AvgS"
"1",1,0,3189.44577015153,46.5118042328185,5.30624177662111,17,187.614457067737,1966.31060013083,84.4794536927767,1.23675414042991,5,393.262120026167,1223.1351700207,30.6919502911693,4.0694876361912,12,101.927930835058,NA,NA,NA,NA,NA,3189.44577015153,46.5118042328185,5.30624177662111,17,187.614457067737
"2",1,1,54836.1453874143,153.39161800897,23.7202581806949,44,1246.27603153214,4107.02202568894,49.2260574945792,17.0707677878368,17,241.589530922879,50729.1233617254,218.977341295808,6.64949039285809,27,1878.85642080464,46886.9170166736,816.096376119575,0.669907063162828,6,7814.4861694456,54836.1453874143,153.39161800897,23.7202581806949,44,1246.27603153214
"3",1,2,64828.6193096133,79.4030706384477,44.3934215586801,189,343.008567775732,28616.294091658,89.7011496668209,16.0941984923501,71,403.046395657155,36212.3252179553,73.2067688501893,28.2992230663299,118,306.884112016571,NA,NA,NA,NA,NA,64828.6193096133,79.4030706384477,44.3934215586801,189,343.008567775732
"4",1,6,89105.9940950871,79.489579296619,58.2999020776037,235,379.174442957818,53689.7815170972,106.306261285577,21.0841125861493,96,559.268557469763,35416.2125779899,60.9687054049645,37.2157894914544,139,254.792896244532,4902.57848466016,257.026247180638,0.471840732762097,3,1634.19282822005,89105.9940950871,79.489579296619,58.2999020776037,235,379.174442957818
"5",1,7,81089.9921897728,73.4474467016947,64.1341832901609,262,309.503786983866,1793.3663333765,47.3187843486955,3.70754014414212,8,224.170791672062,79296.6258563963,74.2703966970648,60.4266431460188,254,312.191440379513,NA,NA,NA,NA,NA,81089.9921897728,73.4474467016947,64.1341832901609,262,309.503786983866
"6",2,0,2786.45475091163,47.746746320259,4.61457535711738,15,185.763650060775,13.1738205621533,6.91486662493247,0.524894550696858,1,13.1738205621533,2773.28093034948,50.6633091556394,4.08968080642052,14,198.091495024963,NA,NA,NA,NA,NA,2786.45475091163,47.746746320259,4.61457535711738,15,185.763650060775
"7",2,1,57679.2535445533,227.479296322617,9.08698047229105,28,2059.9733408769,7501.76363265431,164.774927682002,3.24710939152075,5,1500.35272653086,50177.489911899,241.110680809707,5.8398710807703,23,2181.62999616952,11784.6917028008,352.521981577317,0.683618679257524,4,2946.17292570021,57679.2535445533,227.479296322617,9.08698047229105,28,2059.9733408769
"8",2,2,135861.651276755,82.3283360585996,87.2406294176259,377,360.375732829589,78454.2727435771,90.8838108531336,42.7043765256775,192,408.616003872797,57407.3785331779,73.4491405961644,44.5362528919484,185,310.310154233394,1634.19282822005,257.026247180638,0.157280244254032,1,1634.19282822005,135861.651276755,82.3283360585996,87.2406294176259,377,360.375732829589
"9",2,6,70367.7054790772,61.129859284087,74.2804367915962,278,253.121242730493,21853.7056308974,95.4105895090211,10.9672315719782,50,437.074112617948,48513.9998481798,53.6121552873909,63.3132052196181,228,212.780701088508,3575.64216005423,195.813540979798,0.553410204347723,3,1191.88072001808,70367.7054790772,61.129859284087,74.2804367915962,278,253.121242730493
"10",2,7,20819.5581752934,55.5831163166936,29.061089922981,93,223.866216938638,23.1049892502448,2.0281377374491,7.11011612920945,9,2.56722102780498,20796.4531860431,61.3211497358984,21.9509737937716,84,247.576823643371,NA,NA,NA,NA,NA,20819.5581752934,55.5831163166936,29.061089922981,93,223.866216938638
"11",3,0,10584.409783928,162.533353531424,2.18873970335545,8,1323.051222991,586.479183529987,119.17617745243,0.203206150873276,1,586.479183529987,9997.93060039803,168.727235828423,1.98553355248217,7,1428.27580005686,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,10584.409783928,162.533353531424,2.18873970335545,8,1323.051222991
